S.No,College Code,College Name,Category
53,1123,"Gojan School of Business and Technology, Alamathi, Chennai 600062",Self Financing Engineering Colleges
54,1124,"SAMS College of Engineering and Technology, Panappakkam, Chennai-Tirupathi Road,
Uthukkottai Taluk, Thiruvallur District 601102",Self Financing Engineering Colleges
55,1126,"J N N Institute of Engineering (Autonomous), Ushaa Garden, Kannigaipair Village,
Uthukottai Taluk, Thiruvallur District 601102",Self Financing Engineering Colleges
56,1127,"St. Peters College of Engineering and Technology, College Road, Avadi, Chennai 600 054",Self Financing Engineering Colleges
57,1128,"R M K College of Engineering and Technology (Autonomous), Puduvoyal, Gummidipoondi
Taluk, Thiruvallur District 601206",Self Financing Engineering Colleges
58,1129,"Jaya School of Architecture, Poonamallee By-Pass Road, Poonamallee, Chennai 600 056",Self Financing Engineering Colleges
59,1130,"MARG Instiute of Design & Architecture Swarnabhoomi (MIDAS), Marg Swarnabhoomi,
Velur Village, Cheyyur Post, Chengalpattu District 603302",Self Financing Engineering Colleges
60,1132,"Rajalakshmi School of Architecture, Thandalam, Sriperumpudur Taluk, Kancheepuram
District 602105",Self Financing Engineering Colleges
61,1133,"Annai Veilankannis College of Engineering, Gandhi Road, Nedungundram, Chennai 600048",Self Financing Engineering Colleges
62,1135,"Aalim Muhammed Salegh Academy of Architecture, Muthapudupet, Avadi IAF, Chennai
600055",Self Financing Engineering Colleges
63,1137,"Annai Mira College of Engineering and Technology, Arcot Road, Arappakkam Village, Walaja
Taulk, Ranipet District 632 517",Self Financing Engineering Colleges
64,1138,"Da Vinci School of Design and Architecture, Rajiv Gandhi Salai, Karapakkam, Chennai,
Chengalpattu District 600097",Self Financing Engineering Colleges
65,1140,"Jeppiaar Institute of Technology,kunnam Village,Sriperumpudur Taulk,Kancheepuram
District 631604",Self Financing Engineering Colleges
66,1144,"R V S Padmavathy School of Architecture, Senthil Pakkam Village, Roshanagaram Post,
Madarapakkam Via, Gummidipoondi Taluk, Thiruvallur District 601202",Self Financing Engineering Colleges
67,1146,"Misrimal Navajee Munoth Jain School of Architecture, Rajiv Gandhi Salai (OMR),
Thoraipakkam, Chengalpattu 600096",Self Financing Engineering Colleges
68,1147,"MMES Academy of Architecture, C.Abdul Hakeem College Campus, Hakeem Nagar,
Melvisharam, Ranipet District 632509",Self Financing Engineering Colleges
69,1149,"St. Josephs Institute of Technology (Autonomous), Jeppiaar Nagar, Old Mahabalipuram
Road (OMR), Chennai 600119",Self Financing Engineering Colleges
70,1150,"Sri Jayaram Institute of Engineering and Technology, 51 N, Elavur, 58N, Natham,
Gummidipoondi Taluk, Thiruvallur District 601201",Self Financing Engineering Colleges
71,1152,"CAAD-Chennai Academy of Architecture and Design, No.516-2, Kannigaiper, Chennai-
Thirupathi Highway, Near Periyapalayam Amman Temple, Chennai 601102",Self Financing Engineering Colleges
72,1202,"D M I College of Engineering, Palanchoor, Nazrethpet, Chennai 602103",Self Financing Engineering Colleges
73,1207,"Kings Engineering College, Sriperumpudur Taluk, Kancheepuram District 602105",Self Financing Engineering Colleges
74,1209,"Pallavan College of Engineering, Thimmasamudram, Kancheepuram District 631502",Self Financing Engineering Colleges
75,1210,"Panimalar Engineering College (Autonomous), Nazarethpet, Poonamallee, Chennai 600123",Self Financing Engineering Colleges
76,1211,"Rajalakshmi Engineering College (Autonomous), Thandalam, Sriperumpudur Taluk,
Kancheepuram District 602105",Self Financing Engineering Colleges
77,1212,"Rajiv Gandhi College of Engineering, Nemili, Sriperumpudur Taluk, Kancheepuram District
602105",Self Financing Engineering Colleges
78,1216,"Saveetha Engineering College (Autonomous), Thandalam, Sriperumpudur Taluk,
Kancheepuram District 602105",Self Financing Engineering Colleges
79,1217,"Sree Sastha Institute of Engineering and Technology, Chembarambakkam, Chennai 600103",Self Financing Engineering Colleges
80,1218,"Sri Muthukumaran Institute of Technology, Near Mangadu, Chennai 600069",Self Financing Engineering Colleges
81,1219,"Sri Venkateswara College of Engineering (Autonomous), Post Bag No.1, Chennai-Bengaluru
High Road, Pennalur, Irungattukottai S.O., Sriperumbudur Taluk, Kancheepuram District
602105",Self Financing Engineering Colleges
82,1221,"Jaya College of Engineering and Technology, Parivakkam, Poonamallee, Chennai 600056",Self Financing Engineering Colleges
83,1222,"P B College of Engineering, Irungkattukottai, Sriperumpudur Taluk, Kancheepuram District
602117",Self Financing Engineering Colleges
84,1225,"Loyola Institute of Technology, Mevaloorkuppam, B Village, Palanchoor, Nazarethpet Post,
Chennai 600123",Self Financing Engineering Colleges
85,1226,"P T Lee Chengalvaraya Naicker College of Engineering and Technology, Oovery, Veliyur Post,
Kancheepuram District 631 502",Self Financing Engineering Colleges
86,1228,"Alpha College of Engineering, No.34, Udayavar Koil Street, Poonamallee, Thirumazhisai,
Chennai",Self Financing Engineering Colleges
87,1229,"Indira Institute of Engineering and Technology, VGR Gardens, Pandur, Thiruvallur District
631203",Self Financing Engineering Colleges
88,1230,"Apollo Engineering College, Mevaloorkuppam, Valarpuram Post, Sriperumpudur,
Kancheepuram District 602105",Self Financing Engineering Colleges
89,1232,"A R M College of Engineering and Technology, Sattamangalam, Maraimalainagar,
Chengalpattu District 603209",Self Financing Engineering Colleges
90,1233,"Adhi College of Engineering and Technology, Pazhayaseevaram, Madura Sankarapuram
Village, Kancheepuram District 631605",Self Financing Engineering Colleges
91,1235,"Jei Mathaajee College of Engineering, Vishaandikuppam,Karappettai (via), Siruvakkam,
Kancheepuram District 631 552",Self Financing Engineering Colleges
92,1237,"Velammal Institute of Technology, Chennai-Kolkatta Highway, Panchetti Village, Ponneri
Taluk, Thiruvallur District 601204",Self Financing Engineering Colleges
93,1238,"G R T Institute of Engineering and Technology, GRT Mahalakshmi Nagar, Chennai-Tirupathi
Highway, Tiruttani Taluk, Thiruvallur District 631209",Self Financing Engineering Colleges
94,1241,"T J S Engineering College, Peruvoyal, Near Kavaraipettai, Gummidipoondi Taluk, Thiruvallur
District 601206",Self Financing Engineering Colleges
95,1243,St. Lourdes Engineering College,Self Financing Engineering Colleges
96,1301,"Mohammed Sathak A J College of Engineering, Old Mahabalipuram Road (OMR), Egattur,
Chengalpattu District 603103",Self Financing Engineering Colleges
97,1303,"Anand Institute of Higher Technology, Old Mahabalipuram Road (OMR), Kazhipattur,
Chengalpattu District 603103",Self Financing Engineering Colleges
98,1304,"Easwari Engineering College (Autonomous), Ramapuram, Chennai 600089",Self Financing Engineering Colleges
99,1306,"Jeppiaar Engineering College, Old Mahabalipuram Road (OMR), Chennai 600119",Self Financing Engineering Colleges
100,1307,"Jerusalem College of Engineering (Autonomous), Narayanapuram, Pallikaranai, Chennai 600
100",Self Financing Engineering Colleges
101,1308,"Measi Academy of Architecture, ""Association Gardens"" 87, Peters Road, Royapettah,
Chennai 600 014",Self Financing Engineering Colleges
102,1309,"Meenakshi Sundararajan Engineering College(Autonomous), Kodambakkam, Chennai
600024",Self Financing Engineering Colleges
103,1310,"Misrimal Navajee Munoth Jain Engineering College, Rajiv Gandhi Salai (OMR),
Thorappakkam, Chennai 600096",Self Financing Engineering Colleges
104,1311,"K C G College of Technology(Autonomous), Karappakkam, Chennai 600096",Self Financing Engineering Colleges
105,1315,"Sri Sivasubramaniya Nadar College of Engineering (Autonomous), Kalavakkam, Old
Mahabalipuram Road (OMR), Chengalpattu District 603110",Self Financing Engineering Colleges
106,1316,"Agni College of Technology (Autonomous), Old Mahabalipuram Road (OMR), Thalambur
Village, Chengalpattu District 603103",Self Financing Engineering Colleges
107,1317,"St. Josephs College of Engineering (Autonomous), Old Mahabalipuram Road (OMR),
Chennai 119",Self Financing Engineering Colleges
108,1318,"T.J Institute of Technology, Karapakkam, Chennai - 600097",Self Financing Engineering Colleges
109,1319,"Thangavelu Engineering College, Karappakkam, Chennai 600097",Self Financing Engineering Colleges
110,1322,"Dhanalakshmi Srinivasan College of Engineering and Technology, East Coast Road, Poonjeri,
Chennai 603104",Self Financing Engineering Colleges
111,1325,"St. Joseph College of Engineering, Trinity Campus, Nemili, Sriperumpudur Taluk,
Kancheepuram District 602105",Self Financing Engineering Colleges
112,1335,"Sri Krishna Institute of Technology, Panapakkam, Padappai, Chennai 601301",Self Financing Engineering Colleges
113,1399,"Chennai Institute of Technology, Puduper Village, Nandambakkam Post, Kundrathur,
Chennai 600069",Self Financing Engineering Colleges
114,1400,"Mohamed Sathak A.J. Academy of Architecture, No.34, Old Mahabalipuram Road (OMR),
Chengalpattu District 603103",Self Financing Engineering Colleges
115,1401,"Adhiparasakthi Engineering College, Melmaruvathur, Chengalpattu District 603319",Self Financing Engineering Colleges
116,1402,"Annai Teresa College of Engineering, Thirunavalur, Kallakkurichi District 607204",Self Financing Engineering Colleges
117,1405,"Dhanalakshmi College of Engineering, Manimangalam, Chennai 601301",Self Financing Engineering Colleges
118,1407,"G K M College of Engineering and Technology, Alappakkam-Mappedu Road, Chennai
600063",Self Financing Engineering Colleges
119,1408,"I F E T College of Engineering (Autonomous), Gangarampalayam, Villupuram District
605108",Self Financing Engineering Colleges
120,1409,"Karpaga Vinayaga College of Engineering and Technology, Palayanoor Post,
Maduranthagam Taluk, Chengalpattu District 603308",Self Financing Engineering Colleges
121,1411,"Madha Engineering College, Kundrathur, Chennai 600069",Self Financing Engineering Colleges
122,1412,"Mailam Engineering College, Mailam, Villupuram District 604304",Self Financing Engineering Colleges
123,1413,"Sri Venkateswaraa College of Technology (Autonomous), BHB Nagar, Vadakal Village,
Oragadam Post, Sriperumbudur Taluk, Kanchipuram District 602118",Self Financing Engineering Colleges
124,1414,"Prince Shri Venkateshwara Padmavathy Engineering College, Ponmar, Chennai 600048",Self Financing Engineering Colleges
125,1415,"T S M Jain College of Technology, Melur Village, Kallakurichi District 606201",Self Financing Engineering Colleges
126,1416,"Jaya Sakthi Engineering College, Thirunindravur, Chennai 602024",Self Financing Engineering Colleges
127,1419,"Sri Sai Ram Enginering College (Autonomous), West Tambaram, Chennai 600044",Self Financing Engineering Colleges
128,1420,"Tagore Engineering College, Rathnamangalam, Vandalur Post, Chennai 600048",Self Financing Engineering Colleges
129,1421,"V R S College of Engineering and Technology, Arasur, Villupuram District 607107",Self Financing Engineering Colleges
130,1422,"SRM Valliammai Engineering College (Autonomous), Kattankulathur, Chennai 603203",Self Financing Engineering Colleges
131,1423,"Asan Memorial College of Engineering and Technology,Chengalpattu-603 001.",Self Financing Engineering Colleges
132,1424,"Dhaanish Ahmed College of Engineering, Padappai, Chennai 601301",Self Financing Engineering Colleges
133,1426,"Sri Ramanujar Engineering College, Vandalur, Kolappakkam, Chennai 600127",Self Financing Engineering Colleges
134,1427,"Sri Krishna Engineering College, Panappakkam, Padappai, Chennai 601301",Self Financing Engineering Colleges
135,1428,"E. S. College of Engineering and Technology, Chennai Trunk Road, Ayyankoilpattu,
Villupuram District 605602",Self Financing Engineering Colleges
136,1430,"Maha Bharathi Engineering College, A Vasudevanur, Chinnasalem, Kallakurichi District
606201",Self Financing Engineering Colleges
137,1431,"New Prince Shri Bhavani College of Engineering and Technology, Vengaivasal Main Road,
Gowrivakkam, Chennai 600073",Self Financing Engineering Colleges
138,1432,"Rajalakshmi Institute of Technology, Irulapalayam, Kuthampakkam Post, Kancheepuram
District, Chennai 600124",Self Financing Engineering Colleges
139,1434,"Surya Group of Institutions, GST Road, Vikravandi Village, Villupuram District 605652",Self Financing Engineering Colleges
140,1436,"A R Engineering College, Vadakuchipalayam, Kappiyampuliyur Post, Villupuram District
605601",Self Financing Engineering Colleges
141,1437,"Rrase College of Engineering, Padappai, Kancheepuram 601301",Self Financing Engineering Colleges
142,1438,"Sree Krishna College of Engineering, Anaicut Post, Unnai Village, Vellore District 632101",Self Financing Engineering Colleges
143,1441,"A K T Memorial College of Engineering and Technology, Neelamangalam Village,
Kallakurichi District 606202",Self Financing Engineering Colleges
144,1442,"Prince Dr. K Vasudevan College of Engineering and Technology, Medavakkam-Mambakkam
Road, Ponmar, Chennai 600127",Self Financing Engineering Colleges
145,1444,"R.M. Engineering College Zamin Endathur, Madurantakam (TK), Chengalpattu Dt-603311",Self Financing Engineering Colleges
146,1445,"Sri Rangapoopathi College of Engineering, Alampoondi Village, Gingee, Villupuram District
604151",Self Financing Engineering Colleges
147,1449,"Saraswathy College of Engineering and Technology, NH-45, Main Road, Olakkur,
Tindivanam Taluk, Villupuram District 604307",Self Financing Engineering Colleges
148,1450,"Loyola ICAM College of Engineering and Technology, Loyola College Campus,
Nungambakkam, Chennai 600034",Self Financing Engineering Colleges
149,1452,"PERI Institute of Technology, Mannivakkam, West Tambaram, Chennai 600048",Self Financing Engineering Colleges
150,1501,"Adhiparasakthi College of Engineering, Kalavai, Ranipet District 632506",Self Financing Engineering Colleges
151,1503,"Arulmigu Meenakshi Amman College of Engineering, Vadamavandal,Thiruvannamalai
District",Self Financing Engineering Colleges
152,1504,"Arunai Engineering College, Mathur, Thiruvannamalai District 606603",Self Financing Engineering Colleges
153,1505,"C Abdul Hakeem College of Engineering and Technology, Melvisharam, Ranipet District
632509",Self Financing Engineering Colleges
154,1507,"Ganadipathy Tulsis Jain Engineering College, Kaniyambadi, Vellore District 632102",Self Financing Engineering Colleges
